Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
"D1, D2, D3, D4, D5, D6, D7, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,9,D,
J1,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08_Pin,
SW10,SW_Cherry_MX_1.00u_PCB,1,00,
SW11,SW_Cherry_MX_1.00u_PCB,1,01,
SW12,SW_Cherry_MX_1.00u_PCB,1,02,
SW13,SW_Cherry_MX_1.00u_PCB,1,10,
SW14,SW_Cherry_MX_1.00u_PCB,1,11,
SW15,SW_Cherry_MX_1.00u_PCB,1,12,
SW16,SW_Cherry_MX_1.00u_PCB,1,20,
SW17,SW_Cherry_MX_1.00u_PCB,1,21,
SW18,SW_Cherry_MX_1.00u_PCB,1,22,
U1,XIAO-ESP32-C3-DIP,1,XIAO-ESP32-C3-SMD,
